已生成 5 个（尝试 313 次）
已生成 10 个（尝试 893 次）
已生成 15 个（尝试 1092 次）
已生成 20 个（尝试 1868 次）
已生成 25 个（尝试 2094 次）
已生成 30 个（尝试 2526 次）
最终生成 30 个不同形状
  题目 0: 面积=159606 点数=1128
  题目 1: 面积=160398 点数=1196
  题目 2: 面积=159070 点数=1388
  题目 3: 面积=159798 点数=1194
  题目 4: 面积=159182 点数=1398
  题目 5: 面积=160062 点数=1196
  题目 6: 面积=159598 点数=1396
  题目 7: 面积=159398 点数=1390
  题目 8: 面积=159798 点数=1198
  题目 9: 面积=159346 点数=1390
  题目 10: 面积=159162 点数=1388
  题目 11: 面积=159010 点数=1394
  题目 12: 面积=159894 点数=1410
  题目 13: 面积=159894 点数=1128
  题目 14: 面积=159382 点数=1392
  题目 15: 面积=159598 点数=1396
  题目 16: 面积=159198 点数=1396
  题目 17: 面积=160194 点数=1398
  题目 18: 面积=159710 点数=1392
  题目 19: 面积=159998 点数=1396
  题目 20: 面积=160174 点数=1408
  题目 21: 面积=159998 点数=1396
  题目 22: 面积=159326 点数=1410
  题目 23: 面积=159594 点数=1398
  题目 24: 面积=160174 点数=1412
  题目 25: 面积=158794 点数=1192
  题目 26: 面积=160458 点数=1128
  题目 27: 面积=159610 点数=1550
  题目 28: 面积=159610 点数=1412
  题目 29: 面积=159594 点数=1196
